order;artist;album;year
113;Hikashu;Hikashu History;2001
114;Kay Hoffman;Floret Silva;1985
115;Hugh Hopper;Hopper Tunity Box;1977
116;Hoyry-kone;Huono parturi;1997
117;Hunk Ai;Hunk Ai;1987
118;Les I;Ou Bien;1986
119;Igor Krutogolov's Karate Band;Children 4 Muzik;2005
120;Il Bacio della Medusa;Discesa agl'inferi d'un giovane amante;2008
121;I Teoremi;I Teoremi;1972
122;Jin Ku Heng Xiong [Tsuneo Imahori];Territory;2006
123;Iman Califato Independiente;Camino del Aguila;1980
124;Interference Sardines;Mare Crisium;1997
125;Shi Qiao Ying Zi [Eiko Ishibashi];Slip Beneath the Distant Tree;2007
126;Isildurs Bane;The Voyage: A Trip to Elsewhere;1992
127;Jono El Grande;Neo Dada;2009
128;Justine;Langages fantastiques;1995
129;hotsupi-Shen Shan [Hoppy Kamiyama];A Meaningful Meaningnessless;2005
130;Haco;Kam-pas-nel-la;1998
131;Katra Turana;Katra Turana;1982
132;Katzen Kapell;Katzen Kapell;1994
133;Mike Keneally;The Universe Will Provide;2004
134;Kombinat M;Hybrid Beat;1993
135;Komintern;Le bal du rat mort;1971
136;Koniec;Silenci En Bla;1993
137;Korekyojinn;Jackson;2006
138;KTU;8 Armed Monkey;2005
139;Kultivator;Barndomens Stigar;1981
140;J. Lachen;Music for the Dying Forest;1985
141;Lacrymosa;Po Chuan noHuan bi [Joy of the Wrecked Ship];1995
142;Larsen Rupin;A Ban;1991
